timestamp,classifier,accuracy,n_mfcc,hop_length,n_fft,test_size
2024-11-30 16:38:50,Custom Naive Bayes,34.17%,16,256,512,0.5
2024-11-30 16:39:04,Custom Naive Bayes,40.28%,16,256,1024,0.1
2024-11-30 16:39:05,Custom Naive Bayes,34.72%,16,256,1024,0.2
2024-11-30 16:39:05,Custom Naive Bayes,34.49%,16,256,1024,0.3
2024-11-30 16:39:05,Custom Naive Bayes,34.38%,16,256,1024,0.4
2024-11-30 16:39:05,Custom Naive Bayes,35.14%,16,256,1024,0.5
2024-11-30 16:39:29,Custom Naive Bayes,39.58%,16,256,2048,0.1
2024-11-30 16:39:29,Custom Naive Bayes,33.68%,16,256,2048,0.2
2024-11-30 16:39:29,Custom Naive Bayes,34.49%,16,256,2048,0.3
2024-11-30 16:39:29,Custom Naive Bayes,34.55%,16,256,2048,0.4
2024-11-30 16:39:29,Custom Naive Bayes,33.19%,16,256,2048,0.5
2024-11-30 16:39:35,Custom Naive Bayes,38.89%,16,512,512,0.1
2024-11-30 16:39:35,Custom Naive Bayes,35.07%,16,512,512,0.2
2024-11-30 16:39:35,Custom Naive Bayes,32.87%,16,512,512,0.3
2024-11-30 16:39:35,Custom Naive Bayes,30.56%,16,512,512,0.4
2024-11-30 16:39:35,Custom Naive Bayes,30.14%,16,512,512,0.5
2024-11-30 16:39:43,Custom Naive Bayes,38.19%,16,512,1024,0.1
2024-11-30 16:39:43,Custom Naive Bayes,36.46%,16,512,1024,0.2
2024-11-30 16:39:44,Custom Naive Bayes,34.72%,16,512,1024,0.3
2024-11-30 16:39:44,Custom Naive Bayes,32.99%,16,512,1024,0.4
2024-11-30 16:39:44,Custom Naive Bayes,33.75%,16,512,1024,0.5
2024-11-30 16:39:58,Custom Naive Bayes,39.58%,16,512,2048,0.1
2024-11-30 16:39:58,Custom Naive Bayes,36.46%,16,512,2048,0.2
2024-11-30 16:39:58,Custom Naive Bayes,35.88%,16,512,2048,0.3
2024-11-30 16:39:58,Custom Naive Bayes,33.85%,16,512,2048,0.4
2024-11-30 16:39:58,Custom Naive Bayes,33.89%,16,512,2048,0.5
2024-11-30 16:40:03,Custom Naive Bayes,35.42%,16,1024,512,0.1
2024-11-30 16:40:03,Custom Naive Bayes,32.29%,16,1024,512,0.2
2024-11-30 16:40:03,Custom Naive Bayes,31.02%,16,1024,512,0.3
2024-11-30 16:40:03,Custom Naive Bayes,30.21%,16,1024,512,0.4
2024-11-30 16:40:03,Custom Naive Bayes,30.42%,16,1024,512,0.5
2024-11-30 16:40:09,Custom Naive Bayes,40.28%,16,1024,1024,0.1
2024-11-30 16:40:09,Custom Naive Bayes,37.15%,16,1024,1024,0.2
2024-11-30 16:40:09,Custom Naive Bayes,31.48%,16,1024,1024,0.3
2024-11-30 16:40:09,Custom Naive Bayes,31.94%,16,1024,1024,0.4
2024-11-30 16:40:09,Custom Naive Bayes,30.14%,16,1024,1024,0.5
2024-11-30 16:40:18,Custom Naive Bayes,40.28%,16,1024,2048,0.1
2024-11-30 16:40:18,Custom Naive Bayes,36.11%,16,1024,2048,0.2
2024-11-30 16:40:18,Custom Naive Bayes,32.64%,16,1024,2048,0.3
2024-11-30 16:40:18,Custom Naive Bayes,31.25%,16,1024,2048,0.4
2024-11-30 16:40:18,Custom Naive Bayes,31.39%,16,1024,2048,0.5
2024-11-30 16:40:33,Custom Naive Bayes,36.11%,20,128,512,0.1
2024-11-30 16:40:33,Custom Naive Bayes,28.82%,20,128,512,0.2
